"date","Duration","adjusted","log_return","Bond_Index"
2024-01-24,"2-Year",102.55859375,-0.000533089647839065,"ZT=F"
2024-01-25,"2-Year",102.68359375,0.00121807331112402,"ZT=F"
2024-01-26,"2-Year",102.57421875,-0.00106573298253598,"ZT=F"
2024-01-29,"2-Year",102.66015625,0.00083745722443012,"ZT=F"
2024-01-30,"2-Year",102.5859375,-0.000723217206027457,"ZT=F"
2024-01-31,"2-Year",102.828125,0.00235804315705937,"ZT=F"
2024-02-01,"2-Year",102.8828125,0.000531692694155737,"ZT=F"
2024-02-02,"2-Year",102.53515625,-0.00338487021413289,"ZT=F"
2024-02-05,"2-Year",102.34765625,-0.00183031509629025,"ZT=F"
2024-02-06,"2-Year",102.4609375,0.00110621590117713,"ZT=F"
2024-02-07,"2-Year",102.43359375,-0.000266905612321683,"ZT=F"
2024-02-08,"2-Year",102.359375,-0.000724817396830704,"ZT=F"
2024-02-09,"2-Year",102.28515625,-0.000725343138178935,"ZT=F"
2024-02-12,"2-Year",102.3046875,0.0001909307881695,"ZT=F"
2024-02-13,"2-Year",101.93359375,-0.003633933424244,"ZT=F"
2024-02-14,"2-Year",102.0703125,0.00134035443714447,"ZT=F"
2024-02-15,"2-Year",102.10546875,0.000344372384738326,"ZT=F"
2024-02-16,"2-Year",101.95703125,-0.00145482414633588,"ZT=F"
2024-02-20,"2-Year",102.0390625,0.000804243384405889,"ZT=F"
2024-02-21,"2-Year",101.9609375,-0.000765931409993574,"ZT=F"
2024-02-22,"2-Year",101.84765625,-0.00111164362190323,"ZT=F"
2024-02-23,"2-Year",101.8828125,0.00034512511127732,"ZT=F"
2024-02-26,"2-Year",101.796875,-0.000843849538010948,"ZT=F"
2024-02-27,"2-Year",101.77734375,-0.000191883335521117,"ZT=F"
2024-02-28,"2-Year",101.8828125,0.00103573287353212,"ZT=F"
2024-02-29,"2-Year",101.9296875,0.000459981608846365,"ZT=F"
2024-03-01,"2-Year",102.1328125,0.00199081229611193,"ZT=F"
2024-03-04,"2-Year",102,-0.00130123635797179,"ZT=F"
2024-03-05,"2-Year",102.10546875,0.00103347313556291,"ZT=F"
2024-03-06,"2-Year",102.10546875,0,"ZT=F"
2024-03-07,"2-Year",102.23828125,0.00129989313303051,"ZT=F"
2024-03-08,"2-Year",102.28125,0.000420192148589512,"ZT=F"
2024-03-11,"2-Year",102.19921875,-0.00080233828592112,"ZT=F"
2024-03-12,"2-Year",102.08203125,-0.00114731540809358,"ZT=F"
2024-03-13,"2-Year",102.07421875,-7.65345171045807e-05,"ZT=F"
2024-03-14,"2-Year",102,-0.00072737020606362,"ZT=F"
2024-03-15,"2-Year",101.94921875,-0.00049797936330078,"ZT=F"
2024-03-18,"2-Year",101.96484375,0.000153250833601232,"ZT=F"
2024-03-19,"2-Year",102.0703125,0.00103382928052403,"ZT=F"
2024-03-20,"2-Year",102.24609375,0.00172067722407934,"ZT=F"
2024-03-21,"2-Year",102.2109375,-0.00034389866791614,"ZT=F"
2024-03-22,"2-Year",102.26953125,0.000573098760599538,"ZT=F"
2024-03-25,"2-Year",102.21484375,-0.000534881956666215,"ZT=F"
2024-03-26,"2-Year",102.19921875,-0.00015287597965951,"ZT=F"
2024-03-27,"2-Year",102.2265625,0.000267517629096187,"ZT=F"
2024-03-28,"2-Year",102.125,-0.000993997864462122,"ZT=F"
2024-04-01,"2-Year",102.05078125,-0.000727008392617248,"ZT=F"
2024-04-02,"2-Year",102.08203125,0.000306173219889605,"ZT=F"
2024-04-03,"2-Year",102.125,0.000420835172727809,"ZT=F"
2024-04-04,"2-Year",102.1953125,0.00068825758844286,"ZT=F"
2024-04-05,"2-Year",102.015625,-0.00175982294164821,"ZT=F"
2024-04-08,"2-Year",101.90234375,-0.00111104737211259,"ZT=F"
2024-04-09,"2-Year",101.984375,0.000804674820696571,"ZT=F"
2024-04-10,"2-Year",101.53125,-0.00445298240617182,"ZT=F"
2024-04-11,"2-Year",101.54296875,0.000115413468879942,"ZT=F"
2024-04-12,"2-Year",101.6875,0.00142233864100282,"ZT=F"
2024-04-15,"2-Year",101.5859375,-0.000999269847553823,"ZT=F"
2024-04-16,"2-Year",101.53515625,-0.000500009625986784,"ZT=F"
2024-04-17,"2-Year",101.59375,0.000576911998462895,"ZT=F"
2024-04-18,"2-Year",101.48046875,-0.00111566364699015,"ZT=F"
2024-04-19,"2-Year",101.5234375,0.000423329298784719,"ZT=F"
2024-04-22,"2-Year",101.5234375,0,"ZT=F"
2024-04-23,"2-Year",101.6015625,0.000769230807161382,"ZT=F"
2024-04-24,"2-Year",101.546875,-0.000538399428457686,"ZT=F"
2024-04-25,"2-Year",101.42578125,-0.00119320273582017,"ZT=F"
2024-04-26,"2-Year",101.421875,-3.85141250601665e-05,"ZT=F"
2024-04-29,"2-Year",101.46875,0.000462071629322666,"ZT=F"
2024-04-30,"2-Year",101.328125,-0.00138685591224697,"ZT=F"
2024-05-01,"2-Year",101.51171875,0.00181023409150191,"ZT=F"
2024-05-02,"2-Year",101.625,0.0011153203856004,"ZT=F"
2024-05-03,"2-Year",101.7578125,0.00130603483397583,"ZT=F"
2024-05-06,"2-Year",101.7265625,-0.00030714889283932,"ZT=F"
2024-05-07,"2-Year",101.71484375,-0.000115205161318592,"ZT=F"
2024-05-08,"2-Year",101.6875,-0.000268863668535979,"ZT=F"
2024-05-09,"2-Year",101.75390625,0.000652829269935741,"ZT=F"
2024-05-10,"2-Year",101.63671875,-0.00115233937618942,"ZT=F"
2024-05-13,"2-Year",101.65625,0.000192148800622006,"ZT=F"
2024-05-14,"2-Year",101.72265625,0.000653029889719902,"ZT=F"
2024-05-15,"2-Year",101.87109375,0.00145817370426671,"ZT=F"
2024-05-16,"2-Year",101.76171875,-0.00107423758651961,"ZT=F"
2024-05-17,"2-Year",101.69921875,-0.000614368563654942,"ZT=F"
2024-05-20,"2-Year",101.66796875,-0.000307325883099598,"ZT=F"
2024-05-21,"2-Year",101.68359375,0.000153674747699647,"ZT=F"
2024-05-22,"2-Year",101.59765625,-0.000845503509247013,"ZT=F"
2024-05-23,"2-Year",101.49609375,-0.0010001539531979,"ZT=F"
2024-05-24,"2-Year",101.45703125,-0.000384941108764432,"ZT=F"
2024-05-28,"2-Year",101.42578125,-0.000308059611970701,"ZT=F"
2024-05-29,"2-Year",101.3671875,-0.00057786768438458,"ZT=F"
2024-05-30,"2-Year",101.44140625,0.000731909352960556,"ZT=F"
2024-05-31,"2-Year",101.51953125,0.000769852611254783,"ZT=F"
2024-06-03,"2-Year",101.65625,0.00134581759493747,"ZT=F"
2024-06-04,"2-Year",101.74609375,0.000883409248748413,"ZT=F"
2024-06-05,"2-Year",101.8359375,0.000882629525611627,"ZT=F"
2024-06-06,"2-Year",101.8984375,0.000613544002680951,"ZT=F"
